t,S_mean,E_mean,I_mean,R_mean
525,3625.6666666666665,337.3333333333333,689.0,15348.0
526,3637.0,321.6666666666667,691.6666666666666,15349.666666666666
527,3641.0,313.0,689.6666666666666,15356.333333333334
528,3647.0,320.3333333333333,673.6666666666666,15359.0
529,3640.6666666666665,329.0,667.0,15363.333333333334
530,3650.3333333333335,331.3333333333333,675.0,15343.333333333334
531,3653.0,323.3333333333333,678.6666666666666,15345.0
532,3656.3333333333335,327.0,670.3333333333334,15346.333333333334
533,3665.0,326.6666666666667,667.3333333333334,15341.0
534,3668.3333333333335,329.6666666666667,658.0,15344.0
535,3648.3333333333335,332.6666666666667,668.6666666666666,15350.333333333334
536,3645.6666666666665,343.6666666666667,668.3333333333334,15342.333333333334
537,3655.3333333333335,334.3333333333333,674.3333333333334,15336.0
538,3667.3333333333335,325.3333333333333,674.3333333333334,15333.0
539,3672.0,325.0,679.0,15324.0
540,3673.0,335.0,667.6666666666666,15324.333333333334
541,3681.6666666666665,323.0,672.0,15323.333333333334
542,3695.6666666666665,320.3333333333333,673.3333333333334,15310.666666666666
543,3715.6666666666665,314.3333333333333,666.3333333333334,15303.666666666666
544,3721.3333333333335,321.6666666666667,665.6666666666666,15291.333333333334
