t,S_mean,E_mean,I_mean,R_mean
589,3648.3333333333335,359.6666666666667,737.0,15255.0
590,3649.6666666666665,371.0,724.6666666666666,15254.666666666666
591,3652.0,368.0,721.6666666666666,15258.333333333334
592,3645.3333333333335,363.0,724.0,15267.666666666666
593,3643.6666666666665,353.3333333333333,736.0,15267.0
594,3653.0,350.0,721.6666666666666,15275.333333333334
595,3653.6666666666665,353.0,725.0,15268.333333333334
596,3654.3333333333335,369.0,712.3333333333334,15264.333333333334
597,3662.0,354.0,725.6666666666666,15258.333333333334
598,3674.6666666666665,346.0,729.6666666666666,15249.666666666666
599,3677.0,344.6666666666667,728.3333333333334,15250.0
600,3684.0,344.3333333333333,729.3333333333334,15242.333333333334
601,3679.0,345.0,726.6666666666666,15249.333333333334
602,3669.6666666666665,358.0,719.6666666666666,15252.666666666666
603,3663.0,353.3333333333333,729.6666666666666,15254.0
604,3653.6666666666665,365.6666666666667,722.0,15258.666666666666
605,3654.6666666666665,352.6666666666667,723.6666666666666,15269.0
606,3664.3333333333335,348.6666666666667,706.6666666666666,15280.333333333334
607,3681.3333333333335,338.6666666666667,709.0,15271.0
608,3694.0,335.0,707.0,15264.0
609,3697.6666666666665,335.6666666666667,711.0,15255.666666666666
610,3692.3333333333335,342.3333333333333,703.6666666666666,15261.666666666666
611,3686.3333333333335,340.0,699.0,15274.666666666666
612,3683.6666666666665,335.6666666666667,700.0,15280.666666666666
613,3675.0,340.3333333333333,700.0,15284.666666666666
614,3665.0,354.3333333333333,694.3333333333334,15286.333333333334
615,3667.3333333333335,337.0,700.6666666666666,15295.0
616,3664.3333333333335,339.0,699.6666666666666,15297.0
617,3656.3333333333335,352.6666666666667,699.3333333333334,15291.666666666666
618,3652.3333333333335,354.0,712.0,15281.666666666666
619,3643.3333333333335,361.3333333333333,717.0,15278.333333333334
620,3644.6666666666665,352.3333333333333,734.3333333333334,15268.666666666666
621,3647.0,358.6666666666667,730.0,15264.333333333334
622,3650.0,347.6666666666667,738.0,15264.333333333334
623,3642.6666666666665,352.3333333333333,728.0,15277.0
624,3632.0,368.0,712.3333333333334,15287.666666666666
